,Player,Position,season,draft_score
6488,Marc Desloges,C,2003,0.09164880148469834
6489,Mark Pawlowski,D,2006,0.09163604203800244
6490,Brendan Childerley,RW,2010,0.09162945503170149
6491,Kole Gable,LW,2016,0.09162830626960058
6492,Brodyn Nielsen,LW/C,2012,0.09162602568033762
6493,Zach McPhee,RW,2011,0.09162335311304115
6494,Ian Briscoe,C/RW,2017,0.09156316019946197
6495,Jake Bricknell,C,2015,0.09155689274975234
6496,Devin Welsh,F,2004,0.09153671411634559
6497,Scott Cooke,RW,2012,0.09152848334193567
6498,Marc McCoy,C,2012,0.09152471974223139
6499,Mitch Skapski,LW,2014,0.0915199462832437
6500,Nathan Smith,RW,2011,0.09151610865824719
6501,Florian Baltram,C/LW,2015,0.09150791006351564
6502,Jan Kupec,C,2008,0.0915053873748054
6503,Pierre-Paul Lamoureux,C,2005,0.09149693585506544
6504,J.D. Watt,RW,2005,0.09148044080499576
6505,Justin Spagrud,LW,2013,0.0914755485484207
6506,Chad Labelle,C,2013,0.09147490979679092
6507,Bradley MacDonald,C,2010,0.09147486504776028
6508,Tim Vanstone,C/RW,2014,0.09145342921615307
6509,Pierre-Olivier Landry,C,2005,0.09142250167306144
6510,Gavin Broadhead,C,2013,0.09141327461931203
6511,Benjamin Martin,F,2010,0.0914105241094641
6512,Chris Brown,RW,2010,0.09140702088834554
6513,Dakota Odgers,C/LW,2014,0.09140569462377025
6514,Brenden Dowd,LW,2007,0.09138407963731264
6515,Simon Bouchard,LW,2007,0.09137967941260737
6516,Jack Rodewald,RW,2012,0.09137351314353001
6517,Matt Strueby,C,2008,0.09137024940465507
6518,Jesse Shynkaruk,LW,2014,0.09136841889984895
6519,Kirk Meaver,F,2005,0.09136219366929674
6520,Jérémy Bouchard,LW,2015,0.09135936832176841
6521,Derek Mathers,RW/D,2011,0.09135202188732637
6522,Jakub Procházka,LW,2013,0.09135016088280082
6523,Spencer Turcotte,RW,2012,0.0913441043527749
6524,JC Lipon,RW/C,2011,0.09134061459705156
6525,Zach Fischer,RW,2015,0.0913365179380239
6526,Steve Zmudczynski,RW,2003,0.09130787931700847
6527,Jacob Cardiff,LW/RW,2014,0.09129673985468502
6528,Garrett Klotz,LW,2007,0.09129270587066837
6529,Joey Bernard,F,2013,0.09127707086853046
6530,William Leblanc,F,2016,0.09127584769024702
6531,Moises Gutierrez,RW,2004,0.0912636976006969
6532,Brock Zimak,RW,2009,0.09126246290771692
6533,Jesse Arko,LW,2004,0.0912472190571637
6534,Chris Langkow,C,2007,0.09124581535375209
6535,Nicholas Chyzowski,C/LW,2015,0.09124169351025622
6536,Ryan Jevne,RW,2016,0.09124145748473951
6537,Harry Young,D/LW,2008,0.09123567690630971
6538,Jacob Doty,C/RW,2011,0.09122948930028743
6539,Jesse Paradis,LW,2009,0.09122316005550674
6540,Simon Fischhaber,C,2008,0.09121429547739494
6541,Carson Stadnyk,RW/C,2013,0.09120799890877328
6542,Cole Chorney,RW,2014,0.0911980589396594
6543,Aaron Lewicki,F,2003,0.09118487332140128
6544,Mike Hellyer,RW,2004,0.09118118046764268
6545,Darryl Yacboski,LW,2003,0.09116396290974572
6546,Jesse Pauls,D,2010,0.09115811495112892
6547,Jaden Peca,RW,2017,0.0911579722596905
6548,Jordan Borstmayer,RW,2016,0.09115756940843989
6549,Brenden Silvester,C,2009,0.09115240873975758
6550,Tom Jefferson,RW,2005,0.09115088313057462
6551,Matthew Campese,LW,2016,0.09113520157156929
6552,Vladimir Bobylyov,LW/RW,2015,0.09113039450549895
6553,Logan Fisher,C,2013,0.09112562323705006
6554,Ty Bilcke,RW,2012,0.09112104057800033
6555,Blake Pronk,C,2004,0.09111613698287628
6556,Zac Mackay,C,2013,0.0910886010953609
6557,Justin Scott,C,2006,0.09107701451354477
6558,Carl Tatonetti,D,2010,0.09107620986274517
6559,Maxime Fréchette,D,2006,0.09107620986274517
6560,Seth Swenson,RW,2011,0.09106474899110803
6561,Pavel D. Dyomin,C,2017,0.09105557151313326
6562,Mack Lemmon,RW,2013,0.09105540063401144
6563,Taylor Makin,LW,2010,0.09105388669377884
6564,Pierre-Luc Pelletier,D,2009,0.09105059710364952
6565,Adam Houle,F,2003,0.09104246490749218
6566,Jordan Trach,LW,2008,0.09104213385944454
6567,Mikael Lemieux,F,2008,0.0910337212821237
6568,Austin Wellsby,LW,2015,0.09103348897094052
6569,Brock Balson,RW,2011,0.09099745931681896
6570,Pierre-Olivier Morin,C,2009,0.09098707380966399
6571,Alexander Katerinakis,RW,2016,0.09098026799744255
6572,Jason Wenzel,D/F,2016,0.09097944192057245
6573,Josh McFadden,D,2009,0.09097149106726195
6574,Emanuel Aucoin,C,2015,0.09096563393764862
6575,Alexandre Gagnon,D,2006,0.09096254807503965
6576,Simon Monette,D,2017,0.09096254807503965
6577,Daniel DiCristofaro,D,2015,0.09096254807503965
6578,Brock Hopkins,D,2004,0.09096254807503965
6579,Manraj Singh Hayer,C,2011,0.0909565496031256
6580,Mikhail Sentyurin,LW,2010,0.09095575978801866
6581,Étienne Salvail,LW,2012,0.09094677447884136
6582,Ryan Schoettler,D,2017,0.0909371039690198
6583,Dylan Stewart,LW,2015,0.09093383082933063
6584,Dylan Anderson,C/W,2009,0.09093218237614295
6585,Jordie Deagle,F,2007,0.09092555027195284
6586,Cam Lilley,RW,2004,0.09092183014737155
6587,Brennan Zasitko,LW,2006,0.09091678267698003
6588,Drew Czerwonka,LW,2010,0.09089965307843946
6589,Matthew Pufahl,D,2011,0.0908958121096765
6590,Antoine Marcoux,C,2015,0.09086766965838834
6591,Nathan Grochmal,RW,2004,0.09085717021347346
6592,Alexandre Boivin,C,2013,0.09084507429117905
6593,Kyle Heitzner,C,2017,0.09084361991181533
6594,Mikael Wikstrand,D,2012,0.09083822690162108
6595,Ryan Seymour,C,2004,0.09083591951205462
6596,Dylan Williamson,LW,2016,0.09083564685272516
6597,Andrew Self,LW,2005,0.09082575753953291
6598,Yegor Omelyanenko,W,2011,0.09082011722543563
6599,Chris Francis,C,2007,0.0907981048076584
6600,Jordan Tkatch,C,2013,0.09079625977458337
6601,Mike Halmo,LW/RW,2009,0.09078225429058638
6602,Jerrid Sauer,RW,2005,0.09077677576006342
6603,Mark Hall,C,2008,0.09076416010307291
6604,Adam Kadlec,C,2017,0.09075810901363
6605,Pier-Alexandre Poulin,C,2006,0.09073563559124381
6606,Carter Folk,LW,2014,0.09073463722196315
6607,Marcus Messier,C,2012,0.09072032027365806
6608,Carson MacKinnon,C,2017,0.09072029290517479
6609,Ted Nichol,C,2015,0.09071442337868538
6610,Jake Kustra,D,2017,0.09070482979637498
6611,Michael Claffey,D/F,2010,0.09069329815718163
6612,Braeden Adamyk,C,2008,0.09068919306146855
6613,Riley McKay,LW,2017,0.09068046106495709
6614,Garrett Mitchell,RW,2009,0.0906756956668904
6615,Riley Sonnenburg,LW,2009,0.09066470686748518
6616,Marcus Dickerson,RW,2016,0.09064607027614399
6617,Dylan Bredo,D/C,2011,0.09061438146744122
6618,Rykr Cole,C,2015,0.09061399488658961
6619,Liam O'Brien,C/LW,2012,0.09060367001061939
6620,Domenico Argento,D,2016,0.09059508816021003
6621,Wheaton King,LW,2010,0.09059303387425385
6622,Scott Feser,LW,2013,0.09057795480760905
6623,Ryan Chynoweth,LW,2013,0.0905614862506687
6624,Darryl Moscaluk,C,2003,0.09055043194306493
6625,Tristan Liggett,D,2016,0.09054722833975337
6626,Tanner Shultz,C,2003,0.09053776455187282
6627,Michael Brown,RW,2008,0.09052889213247678
6628,Francis Turbide,D/RW,2011,0.09051925499462354
6629,Josh Defarias,D,2015,0.09049863965264186
6630,Earl Webb,RW,2014,0.0904940527622588
6631,River Beattie,RW,2016,0.0904929267641567
6632,Kyle Pess,LW,2004,0.09048879994495694
6633,Andrew Johnson,C,2013,0.09048834193859184
6634,Jeremy Schenderling,C,2004,0.09047405469496969
6635,Justin Sefton,D,2011,0.09046665050731578
6636,Zach Russell,LW,2017,0.09046456225653512
6637,Eric Krienke,LW,2014,0.0904629028360327
6638,Jason MacDonald,C,2007,0.09045164166722719
6639,Todd Griffith,F,2003,0.09045046690882459
6640,Denis Fecteau,F,2004,0.09044911925516172
6641,Brandon Kennedy,D,2015,0.09043208266995768
6642,Peter Aston,D,2004,0.09041961196972086
6643,Andrew Clouthier,LW,2008,0.09040966218997254
6644,Darcy Zaharichuk,LW/C,2014,0.0904043414624879
6645,Matthew Leszczynski,RW,2005,0.0904019961644349
6646,Kevin Bisaillon,RW,2011,0.09039954585121633
6647,Andrew Rieder,C/RW,2010,0.09039893971450705
6648,Jack Palmer,LW/C,2013,0.09035328578199217
6649,Dalton Sward,C/RW,2012,0.0903470635782985
6650,Vincent Lapalme,F,2017,0.09034053071238458
6651,Étienne Breton,D,2006,0.09033172287716837
6652,David Foucher,D,2007,0.09033023833539991
6653,Matt Paul,D,2015,0.09033023833539991
6654,Olivier Thibodeau,D,2015,0.09033023825828496
6655,Makar Tokarev,LW,2016,0.09030525972216466
6656,Trevor Bush,D/LW,2015,0.09029357484428795
6657,Noah Corson,C/LW,2016,0.09029357382316522
6658,Ethan Crossman,LW,2017,0.09029357371065447
6659,Will Petschenig,D/F,2013,0.09029319641941908
6660,Riley Bruce,D,2015,0.09026635330071275
6661,Mark Bzowey,C,2015,0.09026202964479232
6662,Joey Santucci,RW,2012,0.09025840247832559
6663,Samuel Tremblay,RW,2013,0.09025558997450035
6664,Félix Landry,LW,2013,0.09025558997450035
6665,Isak Quakenbush,RW,2008,0.09025279987103665
6666,Travis Walton,LW,2017,0.09023990898474046
6667,Tristan Langan,C/LW,2017,0.09021365543873097
6668,Jordan Kochan,C,2009,0.09021060250534259
6669,Chris Hepp,D,2005,0.0902088278222607
6670,Steve Natywary,D/LW,2006,0.09020678332485325
6671,Jared Jagow,F,2007,0.09020393198984741
6672,Christian Stockl,RW,2013,0.09019813463684273
6673,Alex MacNeil,D,2013,0.09019500871335913
6674,Matthew Lemire,D,2004,0.09019500871335913
6675,Rhett Rachinski,LW,2009,0.09019056203774381
6676,Aki Kangasmäki,LW/RW,2007,0.09018960537777448
6677,Brent Henke,W/D,2008,0.09018450182130314
6678,Mark Rassell,C,2015,0.09017800143433524
6679,Tyson Dallman,C,2012,0.09017308890020187
6680,Pavel Kousal,LW/RW,2017,0.09016349903785686
6681,Mark Matsuba,D/F,2015,0.09016299677394925
6682,Nathan Burns,LW/C,2011,0.09016121853502251
6683,Jeff Topilko,RW,2004,0.09016002898679862
6684,Jarrid Dowhay,RW,2005,0.09015888916913503
6685,Garan Magnes,LW,2015,0.09015618861206598
6686,Adam Brooks,C,2014,0.09013336802038614
6687,Alex Scully,RW,2011,0.09011715616692284
6688,Brett Beauchamp,D,2004,0.0901125803926223
6689,Samuel Leblanc,F,2017,0.09010374034996257
6690,Jaeger White,C,2016,0.09010343210509614
6691,Jean-Simon Legros,LW,2007,0.09009088652700808
6692,Matt Eagles,C,2006,0.09008488126959736
6693,Kevin Philp,D/RW,2008,0.09008301335110595
6694,Jayden Halbgewachs,LW/C,2015,0.09005954470244026
6695,Taylor Ross,RW/C,2016,0.09005672983291664
6696,Kirk Belyk,RW,2007,0.09004529574689388
6697,Cole Johnson,C,2016,0.09004529574688999
6698,Jordan Wyton,LW,2011,0.09003492460703064
6699,Dane Schioler,RW,2014,0.09003272474631019
6700,Colten Veloso,RW,2015,0.09000873363141418
6701,Shawn Nepinak,F,2005,0.09000873363139388
6702,Josh Bray,C,2005,0.09000873363136117
6703,Darren Aubin,LW,2007,0.08999834804175352
6704,Jordan Shine,LW,2007,0.08997820459334416
6705,Matthew Cline,C,2006,0.08997705772762508
6706,Justin Hickman,RW,2012,0.08995790779590328
6707,Carson Perreaux,LW/C,2013,0.08995312075928272
6708,David Conrad,LW,2009,0.08994582253889354
6709,Lucas Lajoie,LW,2014,0.08993542659609373
6710,Walker Wintoneak,RW,2007,0.08992659078268223
6711,Alexander Peters,D,2014,0.08992490829881483
6712,Mike Tuomi,C,2003,0.08991041828781338
6713,Aaron Boogaard,RW,2004,0.08989345766478703
6714,Ryon Moser,LW,2010,0.0898920069955647
6715,Nicolas Lafontaine,C,2004,0.08988721675896896
6716,Brodie Beard,D,2004,0.08985096034914504
6717,Maxime Labelle,D,2007,0.08984619790657074
6718,Xavier Vinetti,D,2016,0.08984619790657074
6719,Yannick Reiber,C/LW,2009,0.08983716577568714
6720,Raphaël Santerre,LW,2016,0.08982967030582034
6721,Olivier Dame-Malka,D,2008,0.08982032783405647
6722,Teegan Moore,LW,2004,0.08981883973674686
6723,Jack Cowell,LW,2017,0.08981709106651986
6724,Stanislav Bolshakov,F,2004,0.08981670300444489
6725,Christophe Tremblay,RW,2010,0.08981663556631007
6726,Chris Riguse,RW,2010,0.08979840608895256
6727,Neal Prokop,C,2008,0.08977618438996136
6728,Geoff Bezruchko,LW/C,2011,0.0897603796413848
6729,Stephen Shmoorkoff,D,2013,0.08974636550994904
6730,Ty McLean,LW/C,2013,0.08974601742280584
6731,Raphael Harvey-Pinard,LW,2017,0.0897455682078942
6732,Dylan Hood,C,2008,0.08973921297916906
6733,Justin Marreck,LW,2014,0.08973627630709503
6734,Taylor Burke,C/RW,2012,0.08972901301233524
6735,Stefan Sarka,C,2003,0.08971937706941328
6736,T.C. Cratsenberg,C,2010,0.08971893769426637
6737,Curt Gogol,D/LW,2010,0.08971540113515544
6738,Mitch Bursey,D,2011,0.08971370389780073
6739,Alexander Chirva,C,2014,0.08971180817984614
6740,Sean Montgomery,C,2016,0.08971157555477896
6741,Tayler Thompson,C,2011,0.08970859488205787
6742,Josh Derko,LW,2011,0.08969891673039662
6743,Klarc Wilson,RW,2011,0.08968529657675386
6744,Ryan Fox,RW,2008,0.08968276757533147
6745,Brad Riege,F,2007,0.08968119650899331
6746,Garrett Clarke,D/LW,2011,0.08966600987908419
6747,Tyler Mort,D,2010,0.0896593484612466
6748,Cody Thoring,D,2004,0.08963769924665424
6749,Colton Heffley,C,2012,0.0896170504893567
6750,Scottie Greene,D,2016,0.08959912240399727
6751,Jean-Philippe Gauthier,D,2003,0.08959912240399727
6752,Steve Tilley,RW,2004,0.08959761112681486
6753,Brett Breitkreuz,LW,2007,0.08958690450798437
6754,Jovan Matic,F,2005,0.0895862262442298
6755,Cal Babych,RW,2015,0.08957951385816058
6756,Grant McGee,RW,2007,0.08957777565462224
6757,Mike Liambas,LW/D,2007,0.08956946188090846
6758,Michael Hay,RW,2010,0.08952890148566608
6759,Joey Leach,D/LW,2010,0.08952580757254519
6760,Kolby Johnson,LW,2016,0.0895253636500678
6761,Mike Moffat,D,2011,0.08951686673642642
6762,Justin Gutierrez,C,2014,0.08950102289663461
6763,Michaël Sauvageau,LW,2008,0.08949206338690482
6764,Justin Samson,C,2014,0.08949206331584518
6765,Ryan Moore,LW,2004,0.08949112692511332
6766,Brandon Fushimi,RW,2014,0.08947420478360024
6767,Vladislav Lukin,RW,2015,0.08946223143604635
6768,Grant Toulmin,RW,2007,0.08945971388556606
6769,Devon Rymarchuk,LW,2012,0.08945067164530648
6770,David Linsley,C,2005,0.08945047509949805
6771,Jordan Martel,RW,2016,0.08943782269515801
6772,Luc Melanson,LW,2006,0.08942936414183573
6773,David Turcotte,F,2003,0.08940627762481548
6774,Chase Harwell,RW,2015,0.08938676524250541
6775,Sansdrick Lavoie,LW,2007,0.08938290857017986
6776,Cory Genovese,D,2013,0.08935636039008193
6777,Jean-Sébastien Bérubé,LW,2008,0.08935523044679694
6778,Mike Proudley,C,2007,0.08935431310373917
6779,Dan Watt,LW,2006,0.08933870339289374
6780,Maxime Lévesque,C/RW,2007,0.08932852022122473
6781,Axel Simic,C/RW,2017,0.08931720254717707
6782,Campbell Pickard,LW,2015,0.0893069868377489
6783,Levi Cable,LW,2012,0.08930694598564734
6784,Barrett Dachyshyn,C,2017,0.08930007066166668
6785,Tanner Moar,D/RW,2012,0.08929037214807868
6786,Guillaume Pelletier,C,2009,0.08928494001158514
6787,Teal Burns,C,2011,0.08927898245245208
6788,Michael Small,LW/C,2008,0.08927560414196568
6789,Jordan Topping,LW,2015,0.08925797734341823
6790,Joel Ridgeway,LW,2008,0.0892404777981629
6791,Ty Westgard,C/RW,2016,0.08923285509802689
6792,Jérémy Carignan,LW,2014,0.08922657191524927
6793,Sanfred King,RW,2008,0.08921665883892878
6794,Nevin Guy,D,2013,0.08921121259655618
6795,Carter Smith,RW,2006,0.08919354161746332
6796,Drew Hunter,C/D,2017,0.0891748850407856
6797,Pierre-Marc Guilbault,D,2004,0.08916898717872837
6798,Connor Jarvis,LW,2012,0.08914291778651429
6799,Brett Clayton,LW,2017,0.08914278319652406
6800,Mike Boxma,RW,2004,0.08914163541149672
6801,Vukie Mpofu,RW,2014,0.08914152499889194
6802,Matthew Klebanskyj,D,2014,0.08914079188747434
6803,Chad Hohmann,LW,2007,0.08913692100386122
6804,David McMullen,D,2009,0.08912939200917395
6805,Zack Dailey,C,2008,0.08911255730811626
6806,Stefan Fournier,RW,2010,0.08910375840030524
6807,Brandon MacLean,C,2005,0.08908660502872986
6808,Patrick D'Amico,C,2013,0.0890824972113816
6809,Kyle Hope,LW,2011,0.08906709372224197
6810,Mathieu Lemay,RW/C,2013,0.08904668595792825
6811,Luke Hunter,C,2003,0.08904394859725126
6812,Nicolais Gomerich,C/RW,2014,0.089043847094888
6813,Devon Oliver-Dares,W,2012,0.0890396095536927
6814,Samuel Grenache,C/RW,2008,0.0890376610831265
6815,Stephen Anderson,RW,2013,0.08902940598777845
6816,Jarkko Parikka,D,2015,0.08902844188009384
6817,Jordan Harris,D,2014,0.08901356639899244
6818,Liam Darragh,LW,2008,0.08901191389616941
6819,Alex Overhardt,C,2015,0.08900822200677455
6820,John Stampohar,RW,2008,0.08898927857442124
6821,Ryan Kowalski,RW,2009,0.08897581502694824
6822,Chance Lund,LW,2010,0.08897022618818554
6823,Olivier Ouellet,C,2008,0.08895743899181614
6824,Andrew Sullivan,RW,2010,0.0889499480482406
6825,Lukas Doudera,D,2016,0.08894458056993935
6826,Ryan Labrie,RW,2011,0.08894273150786935
6827,Travis Ewanyk,C,2011,0.08891435612016549
6828,Charles Wells,C,2009,0.08890841931862166
6829,Michael Krgovich,RW,2008,0.08889786951446285
6830,Tyler Boland,C,2014,0.08889336155014071
6831,MacKenzie Braid,D,2011,0.08887074991072638
6832,Jean Gleizes,RW,2016,0.08886918754575421
6833,Nicholas Pelletier,LW,2004,0.08886918754561618
6834,Pier-Olivier Grand Maison,LW,2012,0.0888665718545305
6835,Colin Escott,LW,2007,0.08885081802817901
6836,Maxime Presseault,LW,2013,0.08885081801246159
6837,Nicolas Boyer,C,2008,0.08882453063265694
6838,Ryan Letts,RW,2007,0.08879158845279486
6839,Logan Proulx,LW,2009,0.08879116844525334
6840,Connor Gay,RW,2013,0.08878718099846566
6841,Robbie Ciolfi,LW,2009,0.08875668827602821
6842,Cody Gross,C,2007,0.08875216879007414
6843,Joachim Vachon,LW,2015,0.08874397785871534
6844,Colton Kroeker,C,2015,0.08873842861585275
6845,Brendan Rowinski,C,2008,0.08873725784506015
6846,Zackary Hayes,D,2017,0.0887163468738972
6847,Brett Roulston,LW,2013,0.08871469137640445
6848,Brian Sommers,LW,2008,0.08871252000883444
6849,Chris Ray,C,2004,0.08871105233619092
6850,Taylor Clements,C,2010,0.08870232740798123
6851,Riley Bruce,D,2017,0.08867986574994358
6852,Alexandre Alain,C/RW,2015,0.08867964868825948
6853,Dan Gendur,RW,2005,0.08865234092049978
6854,Emil Axelsson,D,2004,0.08864435798186451
6855,Myles Stoesz,W/D,2005,0.08862062100748735
6856,Jonathan Bubnick,RW,2003,0.08858940260420521
6857,Brett Brooks,LW/C,2013,0.08856778538748686
6858,Daniel Wray,RW,2013,0.08856778538607471
6859,Denis Bosc,LW/D,2013,0.0885677817586851
6860,Mikhail Aseyev,F,2006,0.08855501265472199
6861,Maxime Tremblay-Lanthier,RW,2011,0.08855489624730288
6862,Patrick Bordeleau,LW,2004,0.08853523151835979
6863,Ken Dufresne,D,2006,0.08853471484063387
6864,Tyler Hansen,D,2011,0.08853222690111968
6865,Kyzen Loo,LW,2010,0.08853007991379845
6866,Randy McNaught,F,2008,0.08850940747789028
6867,Carson Samoridny,RW,2012,0.08850295325815177
6868,Chaseton Braid,C/LW,2015,0.08850111480507962
6869,Brady Ramsay,RW/C,2011,0.08850110941037612
6870,Vince Scott,C,2004,0.08849947763428961
6871,Sébastien Sylvestre,C,2012,0.08849312088886602
6872,Tate Coughlin,RW,2015,0.08847849558428325
6873,David Kvasnicka,D,2017,0.08846462999591911
6874,Jack Flaman,C,2015,0.0884617163824117
6875,Brandon Bruce,RW,2011,0.08846171638166248
6876,Félix-Antoine Savage,C,2014,0.08846095802221293
6877,Jeffrey Truchon-Viel,LW,2015,0.08845311187057944
6878,Jared Gilbert,D,2013,0.08845243744246223
6879,Jari Erricson,LW/C,2012,0.08844640084741881
6880,Mickey MacDonald,C,2007,0.08843028908479371
6881,Brian King,C,2017,0.08840156353881157
6882,Carter Amson,LW,2014,0.08839110780073116
6883,Philippe Fontaine,LW,2009,0.08838926969595462
6884,Stéphane Michaud,LW,2007,0.08835519675675037
6885,Alexandre Leduc,C,2007,0.0883472642117511
6886,Félix Caron,C,2013,0.08834152746867853
6887,Cody Smuk,RW,2007,0.08832146615746021
6888,Drake Batherson,C,2016,0.08830353926859386
6889,Scott Mahovlich,C,2017,0.08830149578165566
6890,Maxime Cotnoir,C,2004,0.08829947561166587
6891,Jason Swyripa,C,2011,0.08828462679724841
6892,Isaac Reid,LW,2006,0.08827824846344937
6893,Brett Morrison,C,2005,0.08825177736887377
6894,Éric Léger,LW,2015,0.08825035708307616
6895,Anthony Donati,D,2010,0.08824884010040931
6896,Jaynen Rissling,D/LW,2012,0.0882456825020112
6897,Andrew White,RW,2007,0.08824361360337724
6898,Jesse Burt,RW,2007,0.08823193545933436
6899,Josh Gionfriddo,LW,2007,0.08822714042464415
6900,Austin Adamson,RW,2014,0.08822713985405178
6901,Samuel Gaumond,C,2017,0.08822647287544147
6902,Greg Lamoureux,RW,2010,0.0882253209521186
6903,Shane Halifax,RW,2004,0.08822266155752045
6904,Colten Mayor,LW,2011,0.08820870107652092
6905,Matthew Brusciano,LW,2007,0.08820867834427085
6906,Mitchell Walter,RW,2014,0.08820867656705766
6907,Artyom Baltruk,RW/C,2017,0.08820652407162129
6908,Samuel Normandeau,D,2010,0.08819316567111032
6909,Frankie Santini,D,2006,0.08818813866691776
6910,Greg Scott,C,2006,0.08818084898148167
6911,Marcus Power,C,2011,0.0881630840263011
6912,Jordan Roy,C/LW,2016,0.08815678106849731
6913,Kyle Doucet,C,2003,0.08814295860927719
6914,Derek Wells,C,2005,0.08813524975217493
6915,Rob Roteliuk,RW,2006,0.08813269468046633
6916,Riley Armstrong,C/RW,2003,0.08812742173190499
6917,Michael Sofillas,C,2011,0.08812408083500398
6918,Caleb Belter,RW,2011,0.08811477889807875
6919,Mike Wuchterl,LW,2006,0.08808179739932727
6920,Michael Senseman,F,2006,0.0880770854384087
6921,Vince Loschiavo,RW/C,2016,0.08807570189256203
6922,Jean-Philippe Leblanc,C,2006,0.08805929184911801
6923,Alexandre Lemieux,C,2011,0.08805929183349873
6924,Matt Russo,D,2008,0.08805891904231014
6925,Maxime Brunet,D,2004,0.08805305950197546
6926,Matt Foster,C,2005,0.08805273498538738
6927,Ryan Graham,LW,2014,0.08805029614211579
6928,Reid Nemeth,C/LW,2014,0.0880245766194
6929,Cory MacIntosh,LW,2010,0.08802270030795795
6930,Garet Hunt,LW,2006,0.08802135410278827
6931,Andre Herman,LW,2005,0.08801125866388741
6932,Jake Cardwell,D,2010,0.08801028587396083
6933,Chad Robinson,C/LW,2011,0.08800932847563399
6934,Stefan Schneider,C/RW,2008,0.08800766095436291
6935,Bartek Bison,LW,2016,0.08799355545977702
6936,Filip Hronek,D,2016,0.08797491879548042
6937,Brett Lyon,LW,2009,0.0879673592759498
6938,Koltyn Miller,D,2009,0.08794939963296544
6939,Matt Wray,RW,2008,0.08793737714843547
6940,Thomas Welsh,D,2013,0.08793282994035653
6941,Kevin King,RW,2008,0.0879260025628032
6942,Brendan Hamelin,RW,2015,0.087916750626162
6943,Marek Knebl,C,2005,0.08790960611647952
6944,Simon Archambault,D,2005,0.08790076138518008
6945,Jared McAmmond,C,2015,0.0878920174723371
6946,Linden Bahm,RW,2008,0.08787806924610206
6947,Alexandre Moisan,D,2008,0.08787279822659516
6948,Marc Rechlicz,RW,2008,0.0878673673710403
6949,Olivier Croteau,C,2010,0.08786509725884065
6950,Craig Cescon,D,2004,0.08785084740786292
6951,Tanner Mole,LW,2017,0.08783045388094951
6952,Trevor Hendrikx,D,2003,0.0878264136635405
6953,Pierre-Marc Lessard,LW,2007,0.0878154621332089
6954,Keaton Middleton,D,2016,0.08779592141229253
6955,Luke Osterman,RW,2015,0.0877797802494796
6956,Jesse Young,D,2012,0.0877690009184946
6957,Jordan Peddle,C,2009,0.08776744855010588
6958,Gabriel Moreau,D,2014,0.08776674568228056
6959,Connor Chartier,RW,2012,0.0877542781141846
6960,Conner Bruggen-Cate,LW,2017,0.08774118379555983
6961,Tyler Preziuso,RW,2017,0.08773839258363578
6962,Markson Bechtold,LW/C,2014,0.08771573202869515
6963,Chris Kane,D,2004,0.0877002775691513
6964,Blake Thompson,D,2009,0.08769921614313575
6965,Hugo Desharnais-Roux,LW,2010,0.08769700828070945
6966,Emrik Guillemette,RW/LW,2009,0.08767943171426318
6967,Tristen Elder,RW,2016,0.08767370891453044
6968,Austin Hall,D,2015,0.08766341701069388
6969,Jeff Lynch,LW,2004,0.08765326064282361
6970,Josh Anderson,D,2016,0.08764035694244007
6971,Shayne Wiebe,C,2008,0.08760936677440194
6972,Jérémie Malouin,LW,2010,0.08759591860601532
6973,Nicholas Holowko,LW,2015,0.08758684470383418
6974,Kyle Annesley,LW,2003,0.08757979840868804
6975,Luke Wiens,RW,2006,0.08756146368500058
6976,Turner Elson,C/LW,2010,0.08755720966988598
6977,Dakotah Woods,D,2016,0.08753497140832861
6978,J.P. Szaszkiewicz,LW,2006,0.08752379594970713
6979,Matt Sartoris,D,2016,0.08751631613174955
6980,Locke Muller,RW,2012,0.08749304999044037
6981,Djay McGrath,C,2010,0.08749021583484867
6982,Austyn Playfair,C,2015,0.08748915306511398
6983,Anthony Gingras,D,2014,0.08748032103981354
6984,Adam Power,D,2013,0.08747651676835594
6985,Julian Luciani,D,2010,0.08747619515569716
6986,Tyler Skauge,F,2008,0.08746031158244552
6987,Kyle Mulder,RW,2009,0.08744605663089577
6988,Michael Stickland,RW,2007,0.08743506018967964
6989,Kevin Fiset,C,2010,0.0874329949468998
6990,Jean-Christophe Gauthier,C,2007,0.08742277399026024
6991,Cavin Leth,C,2014,0.08741270407587945
6992,Adam Geric,LW,2007,0.08740646307643682
6993,Adam Capannelli,LW,2017,0.08740076928647875
6994,Jacob Dietrich,C,2005,0.08739814715030539
6995,Luke Pelham,RW,2003,0.0873710882798828
6996,Maxime Langelier-Parent,C,2006,0.08733238454057214
6997,Jason Cameron,C,2011,0.08733129094156548
6998,James McEwan,LW,2005,0.08732821516999108
6999,Steven Gillen,C,2004,0.08731921630860945
7000,Dmitri Chupilkin,F,2004,0.08731554918957206
7001,Scott Wasden,C,2006,0.08730566202737261
7002,Dawson Martin,LW,2016,0.08730454168417062
7003,Matthew Boudreau,C,2011,0.08729746141528011
7004,Jacob Lapierre,LW,2017,0.08729677062439611
7005,Cam Cunning,LW,2003,0.08726943855234215
7006,Paul Albers,LW/D,2004,0.08725449535132333
7007,Jonathan Favreau,LW,2003,0.08722157359028088
7008,Craig Cuthbert,RW,2006,0.08721641062237454
