,Player,Position,season,draft_score
419,Kyle Capobianco,D,2015,1.5396043073779428
420,Jake McCabe,D,2012,1.5388158703869823
421,Matthew Finn,D,2012,1.5386429101313182
422,Martin Réway,LW/C,2013,1.5378515161581943
423,Mitch Wahl,C/RW,2008,1.5378063697185829
424,Kevin Klein,D,2003,1.5369038397296262
425,Gabryel Boudreau,LW,2013,1.536700427015366
426,Tomas Jurco,LW/RW,2011,1.5359180573422129
427,Jérémy Lauzon,D,2015,1.5356478091074721
428,Dustin Kohn,D,2005,1.5336813836731453
429,Jonathan Sigalet,D,2004,1.530379474144394
430,Cam Dineen,D,2016,1.5302914431878754
431,Éric Gélinas,D,2009,1.5301460581673432
432,Riley Holzapfel,C,2006,1.529704627336261
433,Alexis Vanier,D,2014,1.5293534019787285
434,Artyom Minulin,D,2017,1.528421040334217
435,Xavier Ouellet,D,2011,1.5281564873128257
436,Cory Conacher,C/W,2008,1.526912685778345
437,Lawson Crouse,LW,2015,1.523445261527423
438,Ryan Rorabeck,D,2003,1.5229672004100965
439,Stuart Percy,D,2011,1.5228531928087738
440,Lino Martschini,RW,2011,1.5222717675427675
441,Nick Shore,C,2011,1.521935764108619
442,Tony DeAngelo,D,2014,1.5218629539692177
443,Chris DiDomenico,W/C,2007,1.5217579065373452
444,Tom Mannino,D,2005,1.5204501097140883
445,Josh Brook,D,2017,1.5187417797423954
446,Blake Kessel,D,2007,1.5160900850919283
447,Daniel Audette,C,2014,1.515891830580194
448,Tom Wilson,RW,2012,1.5151798495268385
449,Dmytro Timashov,LW/RW,2015,1.5145494759534583
450,Pierre-Olivier Joseph,D,2017,1.5144229483257072
451,Madison Bowey,D,2013,1.5133521189115926
452,Nicholas Merkley,RW/C,2015,1.513223380225905
453,Julius Honka,D,2014,1.5126451039207534
454,Charles-Olivier Roussel,D,2009,1.5122993595248864
455,Riley Stadel,D,2014,1.5115753444740907
456,Cameron Gaunce,D,2008,1.5107088767628705
457,Rasmus Andersson,D,2015,1.507195774072648
458,Brayden McNabb,D,2009,1.5066170824977438
459,Riley Sheahan,C/LW,2010,1.5062635635708106
460,Anthony Cirelli,C,2015,1.5059025694784938
461,Mathieu Carle,D,2006,1.5059002609758279
462,Shawn Lalonde,D,2008,1.5054905364500581
463,Cooper Marody,C/RW,2015,1.5054630267985631
464,Lias Andersson,C,2017,1.5051900086997052
465,Max Pacioretty,LW,2007,1.5045881671051817
466,Juuso Välimäki,D,2017,1.5030908755765613
467,Michael Mersch,LW/RW,2011,1.5026767702821733
468,Yevgeni Malkin,C,2004,1.502287113736696
469,Alexandre Néron,D,2008,1.5007020479485442
470,Ryan Pilon,D,2015,1.4992059201209513
471,Dylan Blujus,D,2012,1.498990753713012
472,Stefan Ulmer,D,2009,1.4981719689585598
473,Mathieu Perreault,C/LW,2006,1.4974335286508533
474,Dysin Mayo,D,2014,1.4971678652844647
475,Taylor Aronson,D,2010,1.4959752200880354
476,Tyler Sheehy,C,2014,1.4957280339609773
477,Jerry Turkulainen,RW/LW,2017,1.4954274794986342
478,Joel Armia,RW,2011,1.4943139484224979
479,Hayden Shaw,D,2014,1.4932786100505488
480,Shane Sims,D,2006,1.4921614559739007
481,Nikita Korostelev,RW/LW,2015,1.4918692620282843
482,Parker Wotherspoon,D,2015,1.4902919301222985
483,Simon Bourque,D,2015,1.4902386721931884
484,Dawson Davidson,D,2016,1.486016562568241
485,Ryan Turek,D,2006,1.4845902736808845
486,Michael Quesnele,D,2007,1.4844490383092803
487,Haydn Fleury,D,2014,1.4830372326950565
