,Player,Position,draft_score
325,Danila Galenyuk,D,0.20856001318662004
326,Griffin Ness,F,0.2085356544459317
327,Josh Bohlin,F,0.2079863608238963
328,Clark Kerner,F,0.2079550033883567
329,Chase McLane,C,0.20755722289635156
330,Samuel Stewart,D,0.20746404016435877
331,Logan Pietila,F,0.20734135390599084
332,Joe Berg,F,0.20664995886891346
333,Justin Pringle,C,0.20614715471506262
334,Aidan Fulp,D,0.20576531119612665
335,Andrei Pavlenko,RW,0.20569042920269215
336,Richard Whittaker,F,0.20553775498533966
337,Stéphane Patry,C/LW,0.2053755356597028
338,Yan-Cédric Gaudreault,F,0.20522458725928933
339,Guillaume Saint-Pierre,F,0.20522458725928933
340,Christian Krygier,D,0.2050818832203606
341,Chad Yetman,F,0.2046859571498179
342,Zach Dubinsky,F,0.2045894109611468
343,Quinn Yule,LW,0.20417672274680035
344,Andrew Bruder,F,0.20392638096388302
345,Dylan D'Agostino,F,0.2038923485210205
346,Jack Jensen,LW,0.2033396927187292
347,Adam Conquest,RW,0.20242732005194441
348,Liam Peyton,LW,0.20227158553013497
349,Holden Wale,D,0.20216146440875726
350,Joseph Mack,F,0.20161551232140257
351,Ben Almquist,F,0.20125755108334611
352,Ryan Littlejohn,LW,0.20086136328078005
353,Brandon Tabakin,D,0.2003333266057269
354,Joel Craven,D,0.1998575604069492
355,Filip Andersson,D,0.198962092092388
356,Christopher Playfair,LW,0.19862653232369484
357,Benjamin Badalamenti,RW,0.19775831726756585
358,Oliver True,RW,0.19685036908720296
359,Aidan Brown,RW,0.19579545200449863
360,Rylan Bettens,RW,0.1954476548676126
361,Rhys Forhan,F,0.19496361743606885
362,Danny Katic,LW,0.19494087281130898
363,Daylon Groulx,RW,0.1942561384623596
364,Brett Jacklin,RW,0.1939361305077999
365,Matt Kessel,D,0.1936342904222888
366,Kaleb Bulych,D,0.19291828388222745
367,Blake McConville,RW,0.19263728793680168
368,Axel Bergkvist,D,0.19124985227893335
369,Chet Phillips,D,0.19115704038055514
370,Zackary Trott,F,0.19096223101063933
371,Yegor Zudilov,LW,0.18952068216354082
372,Jake Murray,C,0.18858160227898207
373,John Parker-Jones,RW,0.1884642807356559
374,Ben Coppinger,RW,0.18802688742248022
375,Lane Gilliss,LW,0.1878801667942808
376,Calvin Martin,C,0.18777144968059073
377,Benjamin Tardif,LW,0.18767501241288315
378,Reid Perepeluk,RW/D,0.18645806832423792
379,Aidan Timmermans,D,0.18620037162120368
380,Bryan Laureigh,F,0.18541017066792886
381,Brady Smith,D,0.18514446567501625
382,Connor Lyons,LW,0.184824209426542
383,Travis Mailhot,D,0.184745096299948
384,Alexis Arsenault,D,0.18469139645796206
385,Seva Losev,C/LW,0.18364803148612635
386,Chris McQuaid,D,0.1829436560737654
387,Marino Moro,F,0.1828450920432093
388,Sam Rhodes,LW,0.18236258513860493
389,Pavel Azhgirei,RW,0.18221569960637485
390,Kurtis Henry,F,0.18196776702346024
391,Mitchell Hewitson,F,0.1814654327736853
392,Kelvin Hair,D,0.1804241800663577
393,Braden Henderson,D,0.18026989353405726
394,Xan Gurney,D,0.17971351014525772
395,Sean Gulka,F,0.17970225432218417
396,Paul Larabie,C,0.17885280183990515
397,Patrick Brown,RW,0.17814430694349379
398,Karl Boudrias,D,0.1780058816848442
399,Nathaël Roy,F,0.17742291544186783
400,Eli Lieffers,F,0.17736905695124605
401,Chase Lowry,RW,0.17736905695124605
402,Gilian Kohler,LW/RW,0.17725614443902935
403,Hayden Clayton,RW,0.17686109705921288
404,Michael Farren,C,0.1764406467311402
405,Chad Denault,RW,0.17632720504987456
406,Keltie Jeri-Leon,C,0.1761619979379167
407,Bryan Lockner,FRW,0.17594349373842622
408,Nick Bowman,C,0.17590318396390275
409,Kaeden Taphorn,F,0.17553509717904295
410,Hunor Torzsok,LW,0.1755221229242352
411,Alec Zawatsky,F,0.17550857757090904
412,Marco Creta,D,0.17535367850579595
413,Jake Gravelle,D,0.1753308455111331
414,Dennis Busby,D,0.17484589963517758
415,Lynden McCallum,RW,0.17447112819216942
416,Hayden Johnston,D,0.17403162601070948
417,Leon Denny,D,0.17389989774825354
418,Nick Cicek,D,0.17331643243246672
419,Austin King-Cunningham,D,0.17331643243246672
420,Tyler Popowich,C,0.17309322586298692
421,Joseph Rupoli,D,0.17288832729205442
422,Ty John Kolle,F,0.17280002578890227
423,Bronson Sharp,LW,0.17227394814986152
424,Ryan Miley,D,0.17220611320092788
425,Christian Riemer,D,0.17220611320092788
426,Aiden Mucenski,D,0.17220611320092788
427,Shawn Harke,C,0.17151961931138995
428,Luke Gallagher,D,0.17087632849692824
429,Jackson Shepard,LW,0.17046174335589115
430,Orca Wiesblatt,F,0.1701424260050453
431,Matthew Mosher,RW,0.16990890495148875
432,Kaid Oliver,LW,0.1697509519369946
433,Jaxon Steele,C,0.16881710951642795
434,Keenan Taphorn,RW,0.1682764961794451
435,Bradley Ginnell,C,0.16800027381730187
436,Caiden Daley,C,0.16747834646822518
437,Chris Douglas,RW,0.16708447769190016
